team1,team2,team3,score
frc3373,frc977,frc1599,70
frc2890,frc449,frc401,57
frc5115,frc4099,frc422,72
frc4541,frc2421,frc401,84
frc2377,frc5587,frc6326,82
frc2363,frc2186,frc4541,44
frc346,frc422,frc2890,79
frc1610,frc122,frc1895,69
frc539,frc614,frc4099,69
frc1731,frc836,frc3373,115
frc2421,frc9072,frc1599,85
frc1111,frc8592,frc3136,72
frc1719,frc1086,frc339,56
frc5804,frc888,frc2199,71
frc1727,frc401,frc2068,73
frc619,frc9003,frc449,71
frc1262,frc5115,frc6802,63
frc977,frc8326,frc9403,63
frc686,frc620,frc5338,84
frc1908,frc1629,frc8230,44
frc3939,frc2106,frc623,96
frc9709,frc5549,frc404,35
frc6326,frc339,frc1599,65
frc620,frc539,frc5549,70
frc1111,frc2199,frc2890,28
frc614,frc686,frc9709,69
frc1629,frc977,frc1262,61
frc2106,frc2186,frc122,92
frc1731,frc8230,frc5587,55
frc6802,frc5804,frc1727,109
frc449,frc1610,frc2068,72
frc9072,frc888,frc346,104
frc1719,frc1908,frc619,42
frc1895,frc623,frc836,103
frc2363,frc3939,frc3373,80
frc8326,frc2377,frc3136,75
frc9403,frc1086,frc9003,52
frc404,frc8592,frc5338,91
frc539,frc4541,frc1111,40
frc1262,frc2890,frc9709,51
frc5549,frc1262,frc4099,82
frc614,frc619,frc5587,64
frc1599,frc5549,frc5804,67
frc4099,frc1727,frc1629,87
frc8230,frc2106,frc9072,56
frc5115,frc5587,frc2186,64
frc977,frc346,frc1895,54
frc2421,frc2199,frc1908,65
frc888,frc8326,frc686,66
frc422,frc1731,frc1719,107
frc8592,frc620,frc1086,83
frc623,frc449,frc2363,86
frc401,frc3939,frc3136,86
frc122,frc619,frc5338,95
frc2377,frc2068,frc9003,54
frc9403,frc836,frc614,65
frc339,frc404,frc1610,39
frc6802,frc6326,frc3373,93
frc1599,frc539,frc1895,87
frc977,frc5115,frc8230,64
frc2890,frc5549,frc5587,49
frc1719,frc2421,frc888,51
frc339,frc4541,frc9072,28
frc404,frc8230,frc2421,40
frc449,frc4541,frc346,97
frc9709,frc1629,frc5804,103
frc2106,frc401,frc1262,84
frc2363,frc686,frc8592,88
frc3939,frc122,frc1908,73
frc4099,frc9403,frc2199,75
frc1610,frc6326,frc9003,61
frc1086,frc2068,frc1731,83
frc619,frc6802,frc1111,62
frc2186,frc8326,frc404,52
frc5338,frc3373,frc422,76
frc836,frc9072,frc620,99
frc339,frc3136,frc1727,102
frc623,frc614,frc2377,58
frc5587,frc9709,frc1719,57
frc8230,frc8592,frc401,57
frc686,frc1908,frc539,70
frc9403,frc4541,frc3939,55
frc122,frc2363,frc2421,78
frc5549,frc6326,frc1731,87
frc422,frc9709,frc620,76
frc1086,frc2377,frc5115,53
frc2186,frc888,frc6802,50
frc1599,frc9003,frc4099,73
frc836,frc5115,frc619,94
frc1086,frc1610,frc5804,92
frc620,frc3373,frc2199,84
frc1727,frc1111,frc2106,66
frc1629,frc614,frc346,92
frc623,frc9072,frc8326,70
frc977,frc404,frc422,48
frc3136,frc2890,frc2068,55
frc5338,frc1895,frc449,114
frc2377,frc339,frc1262,46
frc401,frc1908,frc2186,70
frc1719,frc1599,frc9403,56
frc9709,frc4099,frc122,66
frc686,frc1610,frc2421,60
frc888,frc619,frc1731,92
frc4541,frc3373,frc2106,83
frc8326,frc1086,frc346,92
frc1727,frc5549,frc9072,82
frc3136,frc2199,frc1719,36
frc1629,frc539,frc6326,87
frc3136,frc977,frc623,80
frc9003,frc5587,frc620,73
frc2377,frc5804,frc2363,78
frc2199,frc404,frc539,51
frc836,frc1111,frc449,113
frc1895,frc8230,frc6326,55
frc2068,frc422,frc1262,52
frc6802,frc3939,frc339,72
frc8592,frc614,frc5115,72
frc2890,frc5338,frc1629,80
frc4541,frc9709,frc1086,70
frc1908,frc1599,frc8326,54
frc1731,frc401,frc686,90
frc3136,frc346,frc2186,75
frc888,frc623,frc404,46
frc2199,frc1727,frc122,95
frc5549,frc836,frc2377,75
frc9003,frc1111,frc977,50
frc4099,frc6802,frc2106,100
frc9072,frc449,frc1719,69
frc5804,frc623,frc2068,77
frc686,frc2186,frc1111,50
frc2068,frc1895,frc3373,36
frc2421,frc539,frc5587,80
frc5115,frc2363,frc1629,91
frc619,frc339,frc8592,55
frc1610,frc8230,frc2890,37
frc620,frc1262,frc3939,113
frc6326,frc5338,frc614,63
frc9403,frc422,frc5804,99
frc2186,frc1727,frc836,105
frc4541,frc686,frc2199,64
frc122,frc1719,frc404,37
frc449,frc9709,frc977,75
frc5549,frc1895,frc1908,41
frc3373,frc401,frc9072,72
frc9003,frc2421,frc8592,51
frc339,frc8326,frc4099,77
frc8230,frc3136,frc539,80
frc623,frc6802,frc1086,85
frc1629,frc9403,frc619,63
frc1111,frc422,frc888,77
frc8326,frc122,frc6802,72
frc836,frc5338,frc2106,96
frc614,frc620,frc2363,70
frc3939,frc2068,frc5115,59
frc346,frc2377,frc1610,60
frc2106,frc5587,frc1599,82
frc1262,frc1731,frc5338,106
frc5804,frc2890,frc6326,87
frc8592,frc2186,frc5549,61
frc1895,frc404,frc4541,58
frc8230,frc9003,frc122,45
frc3373,frc1719,frc539,69
frc1111,frc1629,frc339,56
frc401,frc977,frc1086,60
frc614,frc2421,frc3939,39
frc6802,frc620,frc449,97
frc2199,frc836,frc8326,88
frc5587,frc3136,frc1610,58
frc9072,frc9403,frc2377,85
frc619,frc2890,frc686,78
frc2106,frc5804,frc1731,103
frc1599,frc623,frc422,97
frc1908,frc1727,frc9403,73
frc2363,frc1731,frc1610,84
frc6326,frc1262,frc1727,76
frc1908,frc346,frc5115,42
frc888,frc4099,frc2363,105
frc5338,frc2068,frc9709,60
frc2186,frc3373,frc2421,64
frc3939,frc1086,frc1629,77
frc1610,frc1719,frc4541,56
frc122,frc1111,frc614,68
frc5587,frc9403,frc686,83
frc449,frc339,frc5549,74
frc9072,frc1731,frc8592,115
frc539,frc2377,frc977,60
frc8326,frc2106,frc2890,75
frc401,frc6326,frc623,65
frc9709,frc2363,frc1727,75
frc422,frc6802,frc1895,59
frc404,frc5115,frc620,62
frc4099,frc346,frc836,84
frc9003,frc3136,frc888,87
frc5804,frc1262,frc1908,79
frc346,frc9003,frc3939,85
frc8592,frc1895,frc888,70
frc5338,frc1599,frc8230,80
frc2068,frc2199,frc619,76
frc5587,frc1629,frc4541,84
frc1731,frc3939,frc1111,64
frc6326,frc8592,frc8326,65
frc3373,frc122,frc2377,93
frc539,frc449,frc2186,105
frc422,frc1610,frc614,69
frc2890,frc1719,frc836,70
frc346,frc2363,frc339,61
frc1895,frc2106,frc9403,47
frc1086,frc4099,frc3136,95
frc1727,frc619,frc623,98
frc2421,frc5338,frc977,53
frc2199,frc1599,frc9709,62
frc1262,frc9072,frc9003,70
frc404,frc5804,frc401,77
frc620,frc888,frc8230,63
frc2068,frc1908,frc6802,49
frc5115,frc686,frc5549,34
frc3748,frc4541,frc1727,75
frc5830,frc5841,frc2377,15
frc8514,frc4464,frc2849,10
frc449,frc6213,frc1727,116
frc836,frc5115,frc7770,67
frc6863,frc8726,frc1389,50
frc5830,frc888,frc614,44
frc2537,frc2377,frc8622,44
frc8592,frc6326,frc3793,45
frc5841,frc1719,frc6213,36
frc9072,frc686,frc6863,85
frc7886,frc4541,frc4464,32
frc1111,frc888,frc449,56
frc836,frc1389,frc1727,81
frc4099,frc2537,frc8726,47
frc3748,frc7770,frc4505,47
frc2914,frc8514,frc2534,42
frc4638,frc2849,frc5115,54
frc1389,frc2377,frc4541,63
frc3793,frc4464,frc1111,8
frc1727,frc9072,frc2537,89
frc4099,frc6213,frc7770,39
frc449,frc8514,frc9072,88
frc8622,frc888,frc686,37
frc4638,frc6863,frc5830,32
frc8592,frc8514,frc888,39
frc2914,frc2849,frc8726,41
frc1719,frc449,frc686,104
frc8622,frc5841,frc5115,41
frc4505,frc836,frc6326,64
frc2534,frc7886,frc4638,34
frc614,frc3748,frc3793,65
frc8592,frc6213,frc9072,91
frc2849,frc2537,frc1389,30
frc8514,frc2377,frc4099,50
frc6863,frc5841,frc449,47
frc3748,frc2914,frc888,62
frc836,frc4464,frc8622,45
frc1727,frc614,frc686,98
frc5115,frc4541,frc2534,53
frc1719,frc7770,frc1111,28
frc7886,frc5830,frc6326,15
frc8726,frc4638,frc3748,57
frc4505,frc4099,frc449,82
frc7886,frc6863,frc3793,22
frc1111,frc8592,frc2849,48
frc4464,frc2537,frc614,31
frc1727,frc6863,frc8514,61
frc3793,frc8622,frc2849,22
frc2377,frc5115,frc1111,33
frc5841,frc836,frc686,74
frc1389,frc8592,frc5830,40
frc888,frc2534,frc4505,56
frc7886,frc2914,frc6213,20
frc4541,frc7770,frc9072,76
frc1719,frc6326,frc8726,61
frc5841,frc3748,frc1389,24
frc686,frc4638,frc2537,51
frc8592,frc4505,frc5115,54
frc888,frc4464,frc4099,44
frc2534,frc449,frc8622,79
frc9072,frc1719,frc7886,31
frc6213,frc614,frc2849,31
frc836,frc5830,frc4541,63
frc7770,frc8726,frc2377,63
frc1111,frc8514,frc6326,34
frc4099,frc4638,frc2914,34
frc5115,frc6326,frc6213,47
frc3793,frc1727,frc1719,47
frc6863,frc2914,frc8622,26
frc686,frc5115,frc5830,57
frc449,frc7886,frc2537,46
frc7770,frc6326,frc4464,19
frc2849,frc9072,frc3748,74
frc8726,frc1111,frc4505,44
frc614,frc2914,frc8592,44
frc8514,frc4541,frc5841,28
frc3793,frc4099,frc836,49
frc6213,frc1389,frc2534,28
frc6863,frc2377,frc888,43
frc1727,frc2849,frc4505,83
frc4638,frc8622,frc1719,27
frc2537,frc836,frc2914,69
frc614,frc4099,frc4541,52
frc4464,frc6863,frc8592,49
frc2534,frc8726,frc5841,44
frc6213,frc3793,frc2377,18
frc7770,frc449,frc4638,72
frc4464,frc4505,frc1719,29
frc7770,frc1389,frc614,46
frc888,frc1727,frc6326,77
frc686,frc1111,frc7886,36
frc9072,frc5115,frc1389,72
frc8514,frc5830,frc3748,34
frc2537,frc8592,frc1719,37
frc2377,frc2534,frc836,80
frc2849,frc686,frc7770,42
frc888,frc3793,frc4638,45
frc4541,frc8726,frc6213,67
frc8622,frc1389,frc8514,35
frc5830,frc9072,frc4099,72
frc4464,frc1727,frc2914,55
frc6326,frc3748,frc449,74
frc4505,frc614,frc6863,56
frc5841,frc1111,frc2537,23
frc5115,frc7886,frc8514,28
frc4638,frc8592,frc836,50
frc8622,frc1727,frc7770,46
frc449,frc5830,frc4464,65
frc4505,frc3793,frc4541,51
frc8726,frc836,frc7886,55
frc2537,frc2534,frc3793,43
frc1719,frc4099,frc6863,56
frc686,frc6213,frc3748,62
frc2849,frc5841,frc7886,16
frc5115,frc888,frc8726,58
frc1389,frc1111,frc2914,26
frc2534,frc614,frc9072,79
frc2377,frc449,frc8592,95
frc6326,frc2537,frc6863,53
frc3748,frc1719,frc5115,41
frc4541,frc2849,frc888,57
frc5830,frc2534,frc1727,85
frc8726,frc3793,frc8514,41
frc6213,frc4505,frc4638,15
frc1111,frc9072,frc836,76
frc1389,frc7886,frc4099,54
frc2914,frc7770,frc5841,23
frc6326,frc8622,frc614,59
frc2377,frc686,frc4464,45
frc4541,frc8622,frc1111,24
frc4099,frc3748,frc8592,65
frc614,frc1719,frc2377,65
frc9072,frc4638,frc5841,58
frc6326,frc686,frc2534,64
frc2914,frc4505,frc5830,38
frc2377,frc8726,frc116,28
frc1719,frc686,frc4464,20
frc1389,frc8514,frc5115,22
frc4638,frc116,frc1418,26
frc1629,frc4541,frc1727,105
frc4464,frc1111,frc888,24
frc7770,frc1446,frc2849,12
frc4456,frc2900,frc8726,60
frc3793,frc8326,frc5243,33
frc7886,frc2377,frc6326,17
frc3748,frc5115,frc9072,55
frc2914,frc1418,frc686,21
frc5841,frc1908,frc8514,21
frc1719,frc1111,frc1629,46
frc4541,frc116,frc4456,55
frc8726,frc4638,frc1446,23
frc2199,frc2900,frc7770,7
frc6213,frc1727,frc1389,61
frc4464,frc8622,frc2537,19
frc888,frc614,frc2849,27
frc1719,frc7886,frc3793,11
frc9072,frc5841,frc1418,37
frc1111,frc1418,frc2199,24
frc8622,frc4638,frc5841,20
frc1446,frc8326,frc1629,66
frc1111,frc2914,frc116,7
frc5243,frc2377,frc4541,29
frc3748,frc2900,frc1908,40
frc7770,frc1727,frc8622,34
frc8726,frc5115,frc614,46
frc4456,frc4464,frc1389,34
frc2537,frc6213,frc2199,21
frc2849,frc686,frc6326,50
frc888,frc8514,frc4638,43
frc2377,frc3793,frc1908,34
frc116,frc9072,frc8326,34
frc2914,frc3748,frc7770,33
frc1629,frc5841,frc2900,53
frc1446,frc6213,frc4541,27
frc5115,frc1719,frc8622,40
frc5243,frc4464,frc8726,30
frc888,frc6326,frc1418,51
frc614,frc4456,frc686,52
frc2849,frc1389,frc1111,30
frc614,frc2914,frc1629,50
frc6213,frc5243,frc7886,0
frc8514,frc2537,frc7886,9
frc2199,frc1727,frc4638,27
frc2900,frc6213,frc116,4
frc4541,frc9072,frc1719,60
frc1629,frc6326,frc1908,63
frc1418,frc8622,frc2377,39
frc4456,frc5841,frc3793,44
frc686,frc888,frc5115,52
frc1446,frc2914,frc4464,5
frc1727,frc8514,frc8726,6
frc4638,frc1389,frc2537,27
frc614,frc5243,frc3748,36
frc8326,frc1111,frc7770,21
frc2849,frc2199,frc7886,27
frc9072,frc1629,frc6213,60
frc1908,frc1418,frc4456,42
frc116,frc8622,frc888,44
frc2377,frc8514,frc2914,18
frc686,frc1389,frc5841,32
frc614,frc3793,frc1446,41
frc6326,frc3748,frc8326,41
frc2537,frc9072,frc1446,57
frc8726,frc2537,frc1111,23
frc5243,frc7770,frc5115,24
frc4638,frc7886,frc3748,20
frc2900,frc6326,frc4464,13
frc1727,frc2849,frc1719,27
frc2199,frc4541,frc8326,59
frc1418,frc1446,frc8514,17
frc6213,frc3793,frc888,65
frc5115,frc1629,frc2377,69
frc7770,frc686,frc2537,31
frc7886,frc1111,frc2900,1
frc1389,frc1908,frc8726,47
frc5841,frc614,frc8326,39
frc4464,frc3748,frc116,30
frc1727,frc9072,frc5243,88
frc4541,frc4638,frc2849,29
frc8622,frc4456,frc2199,58
frc6326,frc1719,frc2914,25
frc686,frc1908,frc7886,40
frc1418,frc2900,frc2537,25
frc888,frc1908,frc1727,64
frc3793,frc7770,frc1389,18
frc116,frc1389,frc1446,28
frc4464,frc2377,frc6213,19
frc9072,frc8726,frc2849,45
frc1111,frc1727,frc5841,75
frc6326,frc2199,frc614,52
frc4541,frc7770,frc888,47
frc5115,frc8326,frc4456,53
frc5243,frc1629,frc8622,44
frc4638,frc2914,frc3793,12
frc8514,frc1719,frc3748,38
frc1727,frc4464,frc1418,55
frc686,frc2377,frc2900,76
frc8726,frc888,frc2199,61
frc1389,frc614,frc9072,52
frc1908,frc8622,frc4541,39
frc7886,frc1446,frc5841,2
frc1111,frc4456,frc6213,35
frc3793,frc2537,frc3748,32
frc8326,frc1719,frc4638,31
frc1629,frc7770,frc8514,54
frc2900,frc4541,frc5115,35
frc4456,frc2849,frc8514,31
frc2849,frc5115,frc2914,38
frc116,frc5243,frc6326,32
frc2900,frc888,frc9072,57
frc1446,frc686,frc1727,76
frc3748,frc2199,frc2377,55
frc5841,frc4464,frc4541,32
frc8622,frc8726,frc3793,36
frc1389,frc7886,frc1629,65
frc7770,frc116,frc1719,35
frc2537,frc6326,frc4456,35
frc5115,frc4638,frc1111,33
frc2914,frc8326,frc1908,37
frc1418,frc2849,frc5243,25
frc8514,frc614,frc6213,35
frc2199,frc1629,frc686,79
frc8622,frc1446,frc2900,19
frc3748,frc888,frc1389,59
frc7886,frc116,frc1727,61
frc2537,frc4541,frc2914,41
frc3793,frc5115,frc4464,33
frc2377,frc5841,frc1719,59
frc2914,frc2199,frc5243,15
frc1719,frc1418,frc614,42
frc8326,frc2849,frc2377,56
frc8514,frc5243,frc1111,11
frc9072,frc4456,frc7770,64
frc5841,frc8726,frc6326,53
frc1908,frc6213,frc4638,43
frc6213,frc3748,frc686,53
frc8326,frc7886,frc8622,24
frc6326,frc3793,frc9072,42
frc1908,frc2537,frc614,46
